day,aliveAnimals,emptyFields,dominantGenes,averageEnergy,averageLifeLength,averageNumberOfChildren
95,347,1040,[0 1 5 7 7 7 2 5 3 1 5 1 4 2 3 7 1 3 3 7],73.0086455331412,26.288659793814432,2.106628242074928
96,354,1035,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.60169491525424,26.274509803921568,2.1242937853107344
97,358,1040,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.60055865921788,26.095238095238095,2.1396648044692737
98,365,1037,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.45205479452055,25.925925925925927,2.1534246575342464
99,371,1040,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.1078167115903,26.0,2.169811320754717
100,371,1040,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.5633423180593,26.065573770491802,2.2048517520215634
101,376,1048,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.07446808510639,26.03174603174603,2.2127659574468086
102,374,1042,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.94117647058823,25.833333333333332,2.2433155080213902
103,370,1050,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],72.04864864864865,25.571428571428573,2.2864864864864867
104,373,1060,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.49597855227881,25.34246575342466,2.316353887399464
105,375,1067,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.08,25.22875816993464,2.3466666666666667
106,375,1063,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.30666666666667,25.5625,2.3653333333333335
107,381,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.51181102362204,25.952380952380953,2.3622047244094486
108,383,1066,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.24543080939948,25.852272727272727,2.3890339425587466
109,387,1068,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],69.9250645994832,25.833333333333332,2.405684754521964
110,383,1070,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.8981723237598,26.787564766839377,2.436031331592689
111,385,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.67792207792208,26.683417085427134,2.4545454545454546
112,389,1075,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.19537275064268,26.634146341463413,2.473007712082262
113,386,1076,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],71.02849740932642,26.666666666666668,2.5129533678756477
114,390,1075,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.23333333333333,27.181818181818183,2.528205128205128
115,393,1085,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],70.02798982188295,26.96035242290749,2.559796437659033
116,398,1084,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],68.96482412060301,26.86695278969957,2.577889447236181
117,404,1083,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],68.34158415841584,27.046413502109704,2.5618811881188117
118,410,1081,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],67.13658536585366,27.095435684647303,2.5682926829268293
119,411,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],66.8029197080292,27.36,2.5693430656934306
120,414,1067,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],66.34057971014492,28.125,2.5603864734299515
121,417,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],66.02158273381295,28.195488721804512,2.5851318944844124
122,426,1064,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.44600938967136,28.25925925925926,2.584507042253521
123,426,1078,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.33802816901408,28.602150537634408,2.60093896713615
124,425,1067,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.47529411764705,28.680555555555557,2.6305882352941174
125,426,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.40610328638498,28.64864864864865,2.652582159624413
126,427,1078,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.80327868852459,28.651315789473685,2.676814988290398
127,421,1072,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],65.61520190023752,29.0,2.7220902612826605
128,428,1068,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.39953271028037,28.88888888888889,2.7289719626168223
129,427,1074,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.20374707259953,29.01492537313433,2.7728337236533958
130,427,1075,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.28103044496487,29.563953488372093,2.7798594847775178
131,425,1061,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.56705882352941,29.943181818181817,2.7623529411764705
132,427,1083,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.34660421545668,30.027932960893853,2.7751756440281032
133,430,1094,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.06744186046511,30.0,2.786046511627907
134,429,1078,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.05361305361305,30.026881720430108,2.8135198135198136
135,435,1087,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],63.14942528735632,30.106100795755967,2.8160919540229883
136,436,1074,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],62.97018348623853,30.052083333333332,2.8440366972477062
137,437,1086,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],63.109839816933636,30.25445292620865,2.8672768878718538
138,434,1093,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],63.73732718894009,30.34739454094293,2.8870967741935485
139,432,1085,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],63.675925925925924,30.481927710843372,2.9050925925925926
140,431,1080,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],63.98143851508121,30.70754716981132,2.937354988399072
141,431,1093,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],64.04872389791183,30.921658986175114,2.9559164733178656
142,434,1090,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],63.62672811059908,30.793650793650794,2.9815668202764978
143,437,1091,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],62.88329519450801,30.671140939597315,3.0
144,439,1088,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],62.60364464692483,30.70175438596491,3.0250569476082005
145,433,1084,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],63.47344110854503,30.833333333333332,3.069284064665127
146,432,1092,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],63.682870370370374,30.87866108786611,3.1018518518518516
147,436,1093,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],63.071100917431195,30.805785123966942,3.11697247706422
148,438,1095,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],62.65525114155251,30.79268292682927,3.143835616438356
149,440,1092,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],62.23863636363637,30.68,3.168181818181818
150,444,1093,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],61.4527027027027,31.043307086614174,3.15990990990991
151,448,1085,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],60.895089285714285,31.167315175097276,3.174107142857143
152,452,1082,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],60.426991150442475,31.166347992351817,3.1946902654867255
153,451,1080,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],60.44567627494457,31.339622641509433,3.2084257206208426
154,456,1082,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],59.583333333333336,31.449814126394052,3.210526315789474
155,462,1090,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],59.121212121212125,31.407678244972576,3.207792207792208
156,462,1076,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],59.03030303030303,31.66365280289331,3.196969696969697
157,463,1083,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],59.0280777537797,31.872791519434628,3.226781857451404
158,462,1089,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],58.84632034632035,31.881533101045296,3.2510822510822512
159,465,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],57.86021505376344,31.982758620689655,3.232258064516129
160,467,1078,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],57.601713062098504,32.22410865874363,3.2548179871520344
161,469,1080,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],57.3411513859275,32.28714524207012,3.279317697228145
162,468,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],57.27350427350427,32.19672131147541,3.3290598290598292
163,468,1081,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],57.085470085470085,32.16478190630048,3.356837606837607
164,471,1081,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],56.70488322717622,32.18849840255591,3.356687898089172
165,468,1075,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],56.916666666666664,32.36220472440945,3.3867521367521367
166,470,1081,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],56.52978723404255,32.44548286604361,3.3851063829787233
167,471,1066,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],56.09129511677283,32.43119266055046,3.424628450106157
168,478,1065,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],55.12133891213389,32.53393665158371,3.3870292887029287
169,486,1081,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],54.34156378600823,32.69345238095238,3.3395061728395063
170,485,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],54.317525773195875,33.41642228739003,3.2804123711340205
171,483,1067,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],54.325051759834366,33.56421356421357,3.2960662525879916
172,483,1077,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],54.028985507246375,33.58974358974359,3.329192546583851
173,488,1064,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],53.38729508196721,33.83966244725738,3.3155737704918034
174,491,1068,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],52.759674134419555,33.7134909596662,3.336048879837067
175,487,1057,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],52.92402464065709,33.94808743169399,3.349075975359343
176,500,1080,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],51.534,33.945578231292515,3.318
177,494,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],52.078947368421055,34.14342629482072,3.334008097165992
178,498,1055,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],51.19076305220884,34.21813403416557,3.317269076305221
179,503,1072,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],50.60636182902584,34.1948051948052,3.3300198807157058
180,495,1065,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],51.2969696969697,34.5859872611465,3.3474747474747475
181,493,1054,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],51.10953346855984,34.62406015037594,3.336713995943205
182,495,1069,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],50.51313131313131,34.62111801242236,3.3515151515151516
183,492,1060,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],50.709349593495936,34.5945945945946,3.3821138211382116
184,491,1064,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],50.74745417515275,34.55864570737606,3.4134419551934827
185,496,1075,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],50.17338709677419,34.59880239520958,3.401209677419355
186,498,1079,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],49.65863453815261,34.62544589774078,3.4136546184738954
187,499,1073,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],49.28256513026052,34.487632508833926,3.4428857715430863
188,501,1074,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],48.84830339321357,34.50867052023121,3.463073852295409
189,496,1064,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],48.975806451612904,34.65301478953356,3.4879032258064515
190,489,1056,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],49.56237218813906,34.89337822671156,3.511247443762781
191,489,1082,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],49.50306748466258,34.87777777777778,3.5357873210633946
192,494,1071,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],48.78137651821862,34.8954895489549,3.5303643724696356
193,497,1079,[7 1 1 0 6 5 2 1 2 3 3 2 6 5 6 7 7 1 2 5],48.33802816901409,34.80916030534351,3.5492957746478875
